pango_lineage,who_variants
BA.5.2.55,Omicron (BA.5)
BA.5.2.56,Omicron (BA.5)
BA.5.2.57,Omicron (BA.5)
BA.5.2.58,Omicron (BA.5)
BA.5.2.59,Omicron (BA.5)
BA.5.2.60,Omicron (BA.5)
BA.5.2.61,Omicron (BA.5)
BA.5.2.62,Omicron (BA.5)
BA.5.2.63,Omicron (BA.5)
BA.5.3,Omicron (BA.5)
BA.5.3.1,Omicron (BA.5)
BE.1,Omicron (BA.5)
BE.1.1,Omicron (BA.5)
BE.1.1.1,Omicron (BA.5)
BQ.1,Omicron (BA.5)
BQ.1.1,Omicron (BA.5)
BQ.1.1.1,Omicron (BA.5)
CZ.1,Omicron (BA.5)
CZ.2,Omicron (BA.5)
BQ.1.1.2,Omicron (BA.5)
DU.1,Omicron (BA.5)
BQ.1.1.3,Omicron (BA.5)
DR.1,Omicron (BA.5)
DR.2,Omicron (BA.5)
BQ.1.1.4,Omicron (BA.5)
EE.1,Omicron (BA.5)
EE.2,Omicron (BA.5)
EE.3,Omicron (BA.5)
EE.4,Omicron (BA.5)
EE.5,Omicron (BA.5)
BQ.1.1.5,Omicron (BA.5)
DN.1,Omicron (BA.5)
DN.1.1,Omicron (BA.5)
DN.1.1.1,Omicron (BA.5)
DN.1.1.2,Omicron (BA.5)
DN.1.1.3,Omicron (BA.5)
DN.1.1.4,Omicron (BA.5)
BQ.1.1.6,Omicron (BA.5)
BQ.1.1.7,Omicron (BA.5)
DK.1,Omicron (BA.5)
BQ.1.1.8,Omicron (BA.5)
DP.1,Omicron (BA.5)
BQ.1.1.9,Omicron (BA.5)
BQ.1.1.10,Omicron (BA.5)
FA.1,Omicron (BA.5)
FA.2,Omicron (BA.5)
BQ.1.1.11,Omicron (BA.5)
BQ.1.1.12,Omicron (BA.5)
BQ.1.1.13,Omicron (BA.5)
EF.1,Omicron (BA.5)
EF.1.1,Omicron (BA.5)
EF.1.1.1,Omicron (BA.5)
EY.1,Omicron (BA.5)
EF.1.2,Omicron (BA.5)
EF.1.3,Omicron (BA.5)
EF.2,Omicron (BA.5)
BQ.1.1.14,Omicron (BA.5)
CW.1,Omicron (BA.5)
BQ.1.1.15,Omicron (BA.5)
DM.1,Omicron (BA.5)
BQ.1.1.16,Omicron (BA.5)
BQ.1.1.17,Omicron (BA.5)
BQ.1.1.18,Omicron (BA.5)
ED.1,Omicron (BA.5)
ED.2,Omicron (BA.5)
ED.3,Omicron (BA.5)
BQ.1.1.19,Omicron (BA.5)
BQ.1.1.20,Omicron (BA.5)
BQ.1.1.21,Omicron (BA.5)
BQ.1.1.22,Omicron (BA.5)
ER.1,Omicron (BA.5)
ER.1.1,Omicron (BA.5)
BQ.1.1.23,Omicron (BA.5)
BQ.1.1.24,Omicron (BA.5)
BQ.1.1.25,Omicron (BA.5)
BQ.1.1.26,Omicron (BA.5)
BQ.1.1.27,Omicron (BA.5)
BQ.1.1.28,Omicron (BA.5)
EH.1,Omicron (BA.5)
BQ.1.1.29,Omicron (BA.5)
BQ.1.1.30,Omicron (BA.5)
BQ.1.1.31,Omicron (BA.5)
BQ.1.1.32,Omicron (BA.5)
DT.1,Omicron (BA.5)
DT.2,Omicron (BA.5)
DT.3,Omicron (BA.5)
BQ.1.1.34,Omicron (BA.5)
BQ.1.1.35,Omicron (BA.5)
ET.1,Omicron (BA.5)
BQ.1.1.36,Omicron (BA.5)
BQ.1.1.37,Omicron (BA.5)
BQ.1.1.38,Omicron (BA.5)
EW.1,Omicron (BA.5)
EW.2,Omicron (BA.5)
EW.3,Omicron (BA.5)
BQ.1.1.39,Omicron (BA.5)
BQ.1.1.40,Omicron (BA.5)
BQ.1.1.41,Omicron (BA.5)
BQ.1.1.42,Omicron (BA.5)
BQ.1.1.43,Omicron (BA.5)
EZ.1,Omicron (BA.5)
BQ.1.1.44,Omicron (BA.5)
BQ.1.1.45,Omicron (BA.5)
BQ.1.1.46,Omicron (BA.5)
EN.1,Omicron (BA.5)
BQ.1.1.47,Omicron (BA.5)
BQ.1.1.48,Omicron (BA.5)
BQ.1.1.49,Omicron (BA.5)
BQ.1.1.50,Omicron (BA.5)
BQ.1.1.51,Omicron (BA.5)
BQ.1.1.52,Omicron (BA.5)
EA.1,Omicron (BA.5)
EA.2,Omicron (BA.5)
BQ.1.1.53,Omicron (BA.5)
BQ.1.1.54,Omicron (BA.5)
BQ.1.1.55,Omicron (BA.5)
BQ.1.1.56,Omicron (BA.5)
BQ.1.1.57,Omicron (BA.5)
BQ.1.1.58,Omicron (BA.5)
BQ.1.1.59,Omicron (BA.5)
BQ.1.1.60,Omicron (BA.5)
BQ.1.1.61,Omicron (BA.5)
BQ.1.1.62,Omicron (BA.5)
BQ.1.1.63,Omicron (BA.5)
BQ.1.1.64,Omicron (BA.5)
BQ.1.1.65,Omicron (BA.5)
ES.1,Omicron (BA.5)
BQ.1.1.66,Omicron (BA.5)
BQ.1.1.67,Omicron (BA.5)
BQ.1.1.68,Omicron (BA.5)
BQ.1.1.69,Omicron (BA.5)
BQ.1.1.70,Omicron (BA.5)
BQ.1.1.71,Omicron (BA.5)
EV.1,Omicron (BA.5)
BQ.1.1.72,Omicron (BA.5)
FC.1,Omicron (BA.5)
BQ.1.2,Omicron (BA.5)
BQ.1.2.1,Omicron (BA.5)
FB.1,Omicron (BA.5)
FB.2,Omicron (BA.5)
BQ.1.3,Omicron (BA.5)
BQ.1.4,Omicron (BA.5)
BQ.1.5,Omicron (BA.5)
BQ.1.6,Omicron (BA.5)
BQ.1.7,Omicron (BA.5)
BQ.1.8,Omicron (BA.5)
BQ.1.8.1,Omicron (BA.5)
BQ.1.8.2,Omicron (BA.5)
FF.1,Omicron (BA.5)
BQ.1.9,Omicron (BA.5)
BQ.1.10,Omicron (BA.5)
BQ.1.10.1,Omicron (BA.5)
EC.1,Omicron (BA.5)
EC.1.1,Omicron (BA.5)
BQ.1.10.2,Omicron (BA.5)
BQ.1.10.3,Omicron (BA.5)
BQ.1.11,Omicron (BA.5)
BQ.1.11.1,Omicron (BA.5)
BQ.1.12,Omicron (BA.5)
BQ.1.13,Omicron (BA.5)
BQ.1.13.1,Omicron (BA.5)
BQ.1.14,Omicron (BA.5)
BQ.1.15,Omicron (BA.5)
BQ.1.15.1,Omicron (BA.5)
BQ.1.15.2,Omicron (BA.5)
BQ.1.16,Omicron (BA.5)
BQ.1.17,Omicron (BA.5)
BQ.1.18,Omicron (BA.5)
BQ.1.19,Omicron (BA.5)
BQ.1.20,Omicron (BA.5)
BQ.1.21,Omicron (BA.5)
BQ.1.22,Omicron (BA.5)
BQ.1.23,Omicron (BA.5)
BQ.1.24,Omicron (BA.5)
BQ.1.25,Omicron (BA.5)
BQ.1.25.1,Omicron (BA.5)
BQ.1.26,Omicron (BA.5)
BQ.1.26.1,Omicron (BA.5)
BQ.1.26.2,Omicron (BA.5)
BQ.1.27,Omicron (BA.5)
BQ.1.28,Omicron (BA.5)
BQ.1.29,Omicron (BA.5)
BQ.1.30,Omicron (BA.5)
BQ.1.31,Omicron (BA.5)
BQ.1.32,Omicron (BA.5)
BQ.2,Omicron (BA.5)
BE.1.2,Omicron (BA.5)
BE.1.1.2,Omicron (BA.5)
CC.1,Omicron (BA.5)
BE.1.2.1,Omicron (BA.5)
DW.1,Omicron (BA.5)
BE.1.3,Omicron (BA.5)
BE.1.4,Omicron (BA.5)
BE.1.4.1,Omicron (BA.5)
BE.1.4.2,Omicron (BA.5)
BE.1.4.3,Omicron (BA.5)
BE.1.4.4,Omicron (BA.5)
BE.2,Omicron (BA.5)
BE.3,Omicron (BA.5)
BE.4,Omicron (BA.5)
BE.4.1,Omicron (BA.5)
BE.4.1.1,Omicron (BA.5)
CQ.1,Omicron (BA.5)
CQ.1.1,Omicron (BA.5)
CQ.2,Omicron (BA.5)
BE.4.2,Omicron (BA.5)
BE.5,Omicron (BA.5)
BE.6,Omicron (BA.5)
BE.7,Omicron (BA.5)
BE.8,Omicron (BA.5)
BE.9,Omicron (BA.5)
BE.10,Omicron (BA.5)
BE.11,Omicron (BA.5)
BE.12,Omicron (BA.5)
BE.13,Omicron (BA.5)
BA.5.3.2,Omicron (BA.5)
BA.5.3.3,Omicron (BA.5)
BA.5.3.4,Omicron (BA.5)
BA.5.3.5,Omicron (BA.5)
BA.5.5,Omicron (BA.5)
BA.5.5.1,Omicron (BA.5)
BA.5.5.2,Omicron (BA.5)
BA.5.5.3,Omicron (BA.5)
BA.5.6,Omicron (BA.5)
BA.5.6.1,Omicron (BA.5)
BA.5.6.2,Omicron (BA.5)
BW.1,Omicron (BA.5)
BW.1.1,Omicron (BA.5)
BW.1.1.1,Omicron (BA.5)
BW.1.1.2,Omicron (BA.5)
BW.1.2,Omicron (BA.5)
BA.5.6.3,Omicron (BA.5)
BA.5.6.4,Omicron (BA.5)
BA.5.7,Omicron (BA.5)
BA.5.8,Omicron (BA.5)
BA.5.9,Omicron (BA.5)
BA.5.10,Omicron (BA.5)
BA.5.10.1,Omicron (BA.5)
DF.1,Omicron (BA.5)
DF.1.1,Omicron (BA.5)
BA.5.11,Omicron (BA.5)
BA.5.12,Omicron (BA.5)
XA,Omicron (XA)
XB,Omicron (XB)
XC,Omicron (XC)
XD,Omicron (XD)
XE,Omicron (XE)
XF,Omicron (XF)
XG,Omicron (XG)
XH,Omicron (XH)
XJ,Omicron (XJ)
XK,Omicron (XK)
XL,Omicron (XL)
XM,Omicron (XM)
XN,Omicron (XN)
XP,Omicron (XP)
XQ,Omicron (XQ)
XR,Omicron (XR)
XS,Omicron (XS)
XT,Omicron (XT)
XU,Omicron (XU)
XV,Omicron (XV)
XW,Omicron (XW)
XY,Omicron (XY)
XZ,Omicron (XZ)
XAA,Omicron (XAA)
XAB,Omicron (XAB)
XAC,Omicron (XAC)
XAD,Omicron (XAD)
XAE,Omicron (XAE)
XAF,Omicron (XAF)
XAG,Omicron (XAG)
XAH,Omicron (XAH)
XAJ,Omicron (XAJ)
XAK,Omicron (XAK)
XAL,Omicron (XAL)
XAM,Omicron (XAM)
XAN,Omicron (XAN)
XAP,Omicron (XAP)
XAQ,Omicron (XAQ)
XAR,Omicron (XAR)
XAS,Omicron (XAS)
XAT,Omicron (XAT)
XAU,Omicron (XAU)
XAV,Omicron (XAV)
XAW,Omicron (XAW)
XAY,Omicron (XAY)
XAY.1,Omicron (XAY.1)
XAY.1.1,Omicron (XAY.1.1)
XAY.1.1.1,Omicron (XAY.1.1.1)
XAY.1.2,Omicron (XAY.1.2)
XAY.2,Omicron (XAY.2)
XAY.2.1,Omicron (XAY.2.1)
XAY.2.2,Omicron (XAY.2.2)
XAY.3,Omicron (XAY.3)
XAZ,Omicron (XAZ)
XBA,Omicron (XBA)
XBB,Omicron (XBB)
XBB.1,Omicron (XBB)
XBB.1.1,Omicron (XBB)
XBB.1.2,Omicron (XBB)
XBB.1.3,Omicron (XBB)
XBB.1.4,Omicron (XBB)
XBB.1.4.1,Omicron (XBB)
XBB.1.5,Omicron (XBB)
XBB.1.5.1,Omicron (XBB)
XBB.1.5.2,Omicron (XBB)
XBB.1.5.3,Omicron (XBB)
XBB.1.5.4,Omicron (XBB)
XBB.1.5.5,Omicron (XBB)
XBB.1.5.6,Omicron (XBB)
XBB.1.5.7,Omicron (XBB)
EM.1,Omicron (XBB)
XBB.1.5.8,Omicron (XBB)
XBB.1.5.9,Omicron (XBB)
XBB.1.5.10,Omicron (XBB)
XBB.1.5.11,Omicron (XBB)
XBB.1.5.12,Omicron (XBB)
XBB.1.5.13,Omicron (XBB)
EK.1,Omicron (XBB)
EK.2,Omicron (XBB)
EK.2.1,Omicron (XBB)
EK.3,Omicron (XBB)
XBB.1.5.14,Omicron (XBB)
EL.1,Omicron (XBB)
XBB.1.5.15,Omicron (XBB)
FD.1,Omicron (XBB)
FD.1.1,Omicron (XBB)
FD.2,Omicron (XBB)
XBB.1.5.16,Omicron (XBB)
FG.1,Omicron (XBB)
FG.2,Omicron (XBB)
FG.3,Omicron (XBB)
XBB.1.5.17,Omicron (XBB)
FH.1,Omicron (XBB)
XBB.1.5.18,Omicron (XBB)
XBB.1.5.19,Omicron (XBB)
XBB.1.5.20,Omicron (XBB)
XBB.1.5.21,Omicron (XBB)
XBB.1.5.22,Omicron (XBB)
XBB.1.5.23,Omicron (XBB)
XBB.1.5.24,Omicron (XBB)
XBB.1.5.25,Omicron (XBB)
XBB.1.5.26,Omicron (XBB)
XBB.1.5.27,Omicron (XBB)
XBB.1.5.28,Omicron (XBB)
XBB.1.5.29,Omicron (XBB)
XBB.1.5.30,Omicron (XBB)
EU.1,Omicron (XBB)
EU.1.1,Omicron (XBB)
XBB.1.5.31,Omicron (XBB)
XBB.1.5.32,Omicron (XBB)
XBB.1.5.33,Omicron (XBB)
XBB.1.5.34,Omicron (XBB)
XBB.1.5.35,Omicron (XBB)
XBB.1.5.36,Omicron (XBB)
XBB.1.5.37,Omicron (XBB)
XBB.1.5.38,Omicron (XBB)
XBB.1.5.39,Omicron (XBB)
XBB.1.6,Omicron (XBB)
XBB.1.7,Omicron (XBB)
XBB.1.8,Omicron (XBB)
XBB.1.9,Omicron (XBB)
XBB.1.9.1,Omicron (XBB)
XBB.1.9.2,Omicron (XBB)
EG.1,Omicron (XBB)
XBB.1.9.3,Omicron (XBB)
XBB.1.9.4,Omicron (XBB)
XBB.1.9.5,Omicron (XBB)
XBB.1.10,Omicron (XBB)
XBB.1.11,Omicron (XBB)
XBB.1.11.1,Omicron (XBB)
XBB.1.12,Omicron (XBB)
XBB.1.13,Omicron (XBB)
XBB.1.14,Omicron (XBB)
XBB.1.15,Omicron (XBB)
XBB.1.16,Omicron (XBB)
XBB.1.16.1,Omicron (XBB)
XBB.1.17,Omicron (XBB)
XBB.1.17.1,Omicron (XBB)
XBB.1.17.2,Omicron (XBB)
XBB.1.18,Omicron (XBB)
XBB.1.18.1,Omicron (XBB)
FE.1,Omicron (XBB)
XBB.1.19,Omicron (XBB)
XBB.1.19.1,Omicron (XBB)
XBB.1.20,Omicron (XBB)
XBB.1.21,Omicron (XBB)
XBB.1.22,Omicron (XBB)
XBB.1.22.1,Omicron (XBB)
XBB.1.22.2,Omicron (XBB)
XBB.1.23,Omicron (XBB)
XBB.1.24,Omicron (XBB)
XBB.1.25,Omicron (XBB)
XBB.1.26,Omicron (XBB)
XBB.1.27,Omicron (XBB)
XBB.1.28,Omicron (XBB)
XBB.1.29,Omicron (XBB)
XBB.1.30,Omicron (XBB)
XBB.2,Omicron (XBB)
XBB.2.1,Omicron (XBB)
XBB.2.2,Omicron (XBB)
XBB.2.3,Omicron (XBB)
XBB.2.3.1,Omicron (XBB)
XBB.2.3.2,Omicron (XBB)
XBB.2.4,Omicron (XBB)
XBB.2.5,Omicron (XBB)
XBB.2.6,Omicron (XBB)
XBB.2.7,Omicron (XBB)
XBB.2.7.1,Omicron (XBB)
XBB.2.8,Omicron (XBB)
XBB.3,Omicron (XBB)
XBB.3.1,Omicron (XBB)
XBB.3.2,Omicron (XBB)
XBB.3.3,Omicron (XBB)
XBB.4,Omicron (XBB)
XBB.4.1,Omicron (XBB)
XBB.5,Omicron (XBB)
XBB.6,Omicron (XBB)
XBB.6.1,Omicron (XBB)
XBB.7,Omicron (XBB)
XBB.8,Omicron (XBB)
XBC,Omicron (XBC)
XBC.1,Omicron (XBC.1)
XBC.1.1,Omicron (XBC.1.1)
XBC.1.1.1,Omicron (XBC.1.1.1)
XBC.1.2,Omicron (XBC.1.2)
XBC.1.2.1,Omicron (XBC.1.2.1)
XBC.1.3,Omicron (XBC.1.3)
XBC.1.4,Omicron (XBC.1.4)
XBC.1.5,Omicron (XBC.1.5)
XBC.1.6,Omicron (XBC.1.6)
XBC.2,Omicron (XBC.2)
XBC.2.1,Omicron (XBC.2.1)
XBD,Omicron (XBD)
XBE,Omicron (XBE)
XBF,Omicron (XBF)
XBF.1,Omicron (XBF.1)
XBF.2,Omicron (XBF.2)
XBF.3,Omicron (XBF.3)
XBF.4,Omicron (XBF.4)
XBF.5,Omicron (XBF.5)
XBF.6,Omicron (XBF.6)
XBF.7,Omicron (XBF.7)
XBF.7.1,Omicron (XBF.7.1)
XBF.8,Omicron (XBF.8)
XBF.8.1,Omicron (XBF.8.1)
XBF.9,Omicron (XBF.9)
XBG,Omicron (XBG)
XBH,Omicron (XBH)
XBJ,Omicron (XBJ)
XBJ.1,Omicron (XBJ.1)
XBJ.1.1,Omicron (XBJ.1.1)
XBJ.2,Omicron (XBJ.2)
XBJ.3,Omicron (XBJ.3)
XBJ.4,Omicron (XBJ.4)
XBK,Omicron (XBK)
XBK.1,Omicron (XBK.1)
XBL,Omicron (XBL)
XBM,Omicron (XBM)
XBN,Omicron (XBN)
XBP,Omicron (XBP)
XBQ,Omicron (XBQ)
XBR,Omicron (XBR)
XBS,Omicron (XBS)
XBT,Omicron (XBT)
XBU,Omicron (XBU)
XBV,Omicron (XBV)
XBW,Omicron (XBW)
XBY,Omicron (XBY)
XBZ,Omicron (XBZ)
